# YTID, start_seconds, end_seconds, positive_labels
kp33ZprO0Ck,140.0,150.0," ""/m/04rlf,/m/09x0r,/m/0fx9l"""
al5JLR2skWY,90.0,100.0," ""/m/0261r1"","
YyStCJbZQds,30.0,40.0," ""/m/04rlf,/m/07s8j8t,/m/07sbbz2"""
aKqXEI4bJNs,420.0,430.0," ""/m/0l14t7"","
jTvT3f62Uec,230.0,240.0," ""/m/01g50p,/m/06d_3,/m/07jdr,/t/dd00048"""
P-eIhvCaK-s,90.0,100.0," ""/m/0342h,/m/04rlf,/m/04szw,/m/0b_fwt,/m/0fx80y,/t/dd00125"""
R-d-5b54PIk,28.0,38.0," ""/m/01w250"","
2E_N8lnoVKE,30.0,40.0," ""/m/07yv9,/m/0fx9l,/m/0k4j"""
nuczDFyl0IM,100.0,110.0," ""/m/01kcd,/m/01wy6"""
G-tO6Sqyiu4,30.0,40.0," ""/m/025rv6n,/m/07st89h,/m/09b5t"""
F9B29hkyhCs,0.0,10.0," ""/m/03w41f"","
RIHnpHZpFcw,4.0,14.0," ""/m/014zdl"","
NHZUhkJwh7A,30.0,40.0," ""/m/027m70_"","
OM3gunQ-H34,20.0,30.0," ""/m/07pc8lb,/m/09x0r,/t/dd00129"""
SMPzo-vGkoc,20.0,30.0," ""/m/01swy6,/m/04rlf"""
FsywuRmOMTM,30.0,40.0," ""/m/015lz1,/m/02w4v,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"""
1U8Y6VifI-M,50.0,60.0," ""/m/01hsr_,/m/04rlf,/m/09x0r,/t/dd00125"""
R3urUtvSgkU,30.0,40.0," ""/m/018vs,/m/04rlf,/m/06bz3"""
7LGLhQFiE0s,30.0,40.0," ""/m/04rlf,/t/dd00034"""
W68jUDP5qAk,18.0,28.0," ""/m/09x0r,/m/0dl9sf8"""
xn0lixke96Y,10.0,20.0," ""/m/02bm9n,/m/05zc1,/m/0l7xg,/t/dd00077"""
Tq7r8e3pw9E,40.0,50.0," ""/m/0dl83"","
2E_N8lnoVKE,30.0,40.0," ""/m/07yv9,/m/0fx9l,/m/0k4j"""
xn0lixke96Y,10.0,20.0," ""/m/02bm9n,/m/05zc1,/m/0l7xg,/t/dd00077"""
qeQT1rjrtkE,30.0,40.0," ""/m/026z9,/m/04rlf,/m/09x0r"""
FgN9v1jYqjA,30.0,40.0," ""/m/04_sv,/m/07q2z82,/m/07yv9,/m/0btp2"""
-0YUDn-1yII,30.0,40.0," ""/m/02cjck,/m/04rlf"""
SMPzo-vGkoc,20.0,30.0," ""/m/01swy6,/m/04rlf"""
aKqXEI4bJNs,420.0,430.0," ""/m/0l14t7"","
Jf7wpI8CwA8,270.0,280.0," ""/m/04rlf,/t/dd00088"""
2E_N8lnoVKE,30.0,40.0," ""/m/07yv9,/m/0fx9l,/m/0k4j"""
yI3JphKUhqo,30.0,40.0," ""/m/06xkwv,/m/07rcgpl"""
F91onSQEfJg,30.0,40.0," ""/m/0l156k"","
al5JLR2skWY,90.0,100.0," ""/m/0261r1"","
_EmMPAdPwtM,80.0,90.0," ""/m/025rv6n,/m/07qwf61,/m/0dbvp"""
DWKxHPkDoNA,70.0,80.0," ""/m/04rlf,/m/07p7b8y,/m/09x0r"""
7LGLhQFiE0s,30.0,40.0," ""/m/04rlf,/t/dd00034"""
pEcDgd_rpv8,10.0,20.0," ""/m/02l6bg,/m/07yv9,/m/0k5j"""
gS-JeQ0dbTQ,400.0,410.0," ""/m/01p970,/m/026t6,/m/0l14md"""
DQilIHtFxpY,120.0,130.0," ""/m/023vsd,/m/07pdjhy,/m/083vt"""
qeQT1rjrtkE,30.0,40.0," ""/m/026z9,/m/04rlf,/m/09x0r"""
NIcsJ8sEd0M,30.0,40.0," ""/m/028sqc,/m/02w4v,/m/04rlf"""
7g6aZTBe2xE,30.0,40.0," ""/m/014zdl,/m/01jwx6,/m/04_sv,/m/07pb8fc,/m/07pxg6y,/m/07yv9"""
X96v9LlsjJM,30.0,40.0," ""/m/028ght,/m/04rlf,/m/07pzfmf,/t/dd00035"""
xgqhURbWHCU,30.0,40.0," ""/m/09t49,/m/09x0r"""
Jf7wpI8CwA8,270.0,280.0," ""/m/04rlf,/t/dd00088"""
kp33ZprO0Ck,140.0,150.0," ""/m/04rlf,/m/09x0r,/m/0fx9l"""
Tq7r8e3pw9E,40.0,50.0," ""/m/0dl83"","
FsywuRmOMTM,30.0,40.0," ""/m/015lz1,/m/02w4v,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"""
5YRATI__jKU,10.0,20.0," ""/m/0mkg"","
FsywuRmOMTM,30.0,40.0," ""/m/015lz1,/m/02w4v,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y"""
1U8Y6VifI-M,50.0,60.0," ""/m/01hsr_,/m/04rlf,/m/09x0r,/t/dd00125"""
OAl2EjbdQG8,30.0,40.0," ""/m/02cz_7,/m/04rlf"""
epJtFMjV_FI,0.0,10.0," ""/m/019jd,/m/07qv_d5,/m/07yv9,/m/0912c9,/m/09x0r"""
Tq7r8e3pw9E,40.0,50.0," ""/m/0dl83"","
G-tO6Sqyiu4,30.0,40.0," ""/m/025rv6n,/m/07st89h,/m/09b5t"""
Cn9tmzmvWZE,30.0,40.0," ""/m/0hdsk"","
lQ2_0IqvH8g,60.0,70.0," ""/m/02c8p,/m/07cx4,/m/09x0r"""
1z5KCCduAUM,30.0,40.0," ""/m/05rj2,/m/09x0r"""
jTvT3f62Uec,230.0,240.0," ""/m/01g50p,/m/06d_3,/m/07jdr,/t/dd00048"""
6tIrKWJt6OE,30.0,40.0," ""/m/04rlf,/m/0l14jd,/t/dd00034"""
MfKSVJIcDK0,30.0,40.0," ""/m/0342h,/m/042v_gx,/m/04rlf,/m/0fx80y,/t/dd00034"""
2eWobSpugTw,17.0,27.0," ""/t/dd00002"","
5B29CwNwULU,30.0,40.0," ""/m/06mb1,/m/07r10fb,/t/dd00038"""
cf-IIqhveKw,370.0,380.0," ""/m/04rlf,/m/0b9m1"""
rN5P9DileN4,30.0,40.0," ""/m/04rlf,/m/07q4ntr,/m/07sr1lc"""
Dt88SzvHRP4,80.0,90.0," ""/m/01xqw,/m/02fsn,/m/02qmj0d,/m/0l14_3"""
tISWNV_n32g,70.0,80.0," ""/m/03wvsk"","
YyStCJbZQds,30.0,40.0," ""/m/04rlf,/m/07s8j8t,/m/07sbbz2"""
dwFtlQLdbq0,130.0,140.0," ""/m/04rlf,/m/05r5wn,/m/0xzly"""
DQilIHtFxpY,120.0,130.0," ""/m/023vsd,/m/07pdjhy,/m/083vt"""
ktY_rsii-Pg,30.0,40.0," ""/m/04rlf,/m/07qdb04,/m/09ddx,/m/0jbk"""
PLE0pDzvB08,30.0,40.0," ""/m/01c194,/m/04rlf,/m/0b9m1,/m/0l14jd"""
G-tO6Sqyiu4,30.0,40.0," ""/m/025rv6n,/m/07st89h,/m/09b5t"""
ggwr-Ixz730,30.0,40.0," ""/m/07qv4k0,/m/09x0r,/m/0brhx"""
6tIrKWJt6OE,30.0,40.0," ""/m/04rlf,/m/0l14jd,/t/dd00034"""
