# YTID, start_seconds, end_seconds, positive_labels
DQilIHtFxpY,120.0,130.0," ""/m/023vsd,/m/07pdjhy,/m/083vt"""
p7VHRyQDMTM,30.0,40.0," ""/m/0dwsp,/m/0dwtp,/m/0j45pbj"""
RIHnpHZpFcw,4.0,14.0," ""/m/014zdl"","
EDSb0tPKU4o,10.0,20.0," ""/m/01z47d,/m/04rlf,/m/09x0r"""
tISWNV_n32g,70.0,80.0," ""/m/03wvsk"","
R-d-5b54PIk,28.0,38.0," ""/m/01w250"","
AMPNzro2QyQ,30.0,40.0," ""/m/03k3r,/m/04rlf,/m/0jbk"""
F9B29hkyhCs,0.0,10.0," ""/m/03w41f"","
vi6czbA1hoo,190.0,200.0," ""/m/03w41f"","
-0YUDn-1yII,30.0,40.0," ""/m/02cjck,/m/04rlf"""
FgN9v1jYqjA,30.0,40.0," ""/m/04_sv,/m/07q2z82,/m/07yv9,/m/0btp2"""
Jf7wpI8CwA8,270.0,280.0," ""/m/04rlf,/t/dd00088"""
ccVA8DXs7Ds,30.0,40.0," ""/m/03r5q_,/m/04rlf,/m/06by7"""
7LGLhQFiE0s,30.0,40.0," ""/m/04rlf,/t/dd00034"""
lQ2_0IqvH8g,60.0,70.0," ""/m/02c8p,/m/07cx4,/m/09x0r"""
SMPzo-vGkoc,20.0,30.0," ""/m/01swy6,/m/04rlf"""
1U8Y6VifI-M,50.0,60.0," ""/m/01hsr_,/m/04rlf,/m/09x0r,/t/dd00125"""
SoXUu09S_co,30.0,40.0," ""/m/02lkt,/m/04rlf,/m/07gxw"""
_EmMPAdPwtM,80.0,90.0," ""/m/025rv6n,/m/07qwf61,/m/0dbvp"""
guD1xZbsNGA,110.0,120.0," ""/m/03r5q_,/m/04rlf"""
NIcsJ8sEd0M,30.0,40.0," ""/m/028sqc,/m/02w4v,/m/04rlf"""
rN5P9DileN4,30.0,40.0," ""/m/04rlf,/m/07q4ntr,/m/07sr1lc"""
