# YTID, start_seconds, end_seconds, positive_labels
yI3JphKUhqo,30.0,40.0," ""/m/06xkwv,/m/07rcgpl"""
DQilIHtFxpY,120.0,130.0," ""/m/023vsd,/m/07pdjhy,/m/083vt"""
KBXO0J_n1Mc,80.0,90.0," ""/m/03k3r,/m/0jbk"""
p7VHRyQDMTM,30.0,40.0," ""/m/0dwsp,/m/0dwtp,/m/0j45pbj"""
RIHnpHZpFcw,4.0,14.0," ""/m/014zdl"","
G-tO6Sqyiu4,30.0,40.0," ""/m/025rv6n,/m/07st89h,/m/09b5t"""
VKhIVJuYIk4,190.0,200.0," ""/m/07prgkl,/m/09x0r"""
7g6aZTBe2xE,30.0,40.0," ""/m/014zdl,/m/01jwx6,/m/04_sv,/m/07pb8fc,/m/07pxg6y,/m/07yv9"""
hFqZZrj0rnM,30.0,40.0," ""/m/04rlf,/m/07qcpgn"""
EDSb0tPKU4o,10.0,20.0," ""/m/01z47d,/m/04rlf,/m/09x0r"""
al5JLR2skWY,90.0,100.0," ""/m/0261r1"","
xgqhURbWHCU,30.0,40.0," ""/m/09t49,/m/09x0r"""
cf-IIqhveKw,370.0,380.0," ""/m/04rlf,/m/0b9m1"""
LFW4yPH1z3M,30.0,40.0," ""/m/01jnbd,/m/02rr_,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y"""
6tIrKWJt6OE,30.0,40.0," ""/m/04rlf,/m/0l14jd,/t/dd00034"""
Dt88SzvHRP4,80.0,90.0," ""/m/01xqw,/m/02fsn,/m/02qmj0d,/m/0l14_3"""
MSY3Z4yTgXU,10.0,20.0," ""/m/07qwyj0"","
tISWNV_n32g,70.0,80.0," ""/m/03wvsk"","
HPhPfOyOguw,240.0,250.0," ""/m/025_jnm,/m/09x0r"""
LmtTU7Ihc4M,350.0,360.0," ""/m/032s66,/m/04zjc"""
6nNOHgUrTSw,130.0,140.0," ""/m/01b82r,/m/07pdjhy,/m/083vt"""
OAl2EjbdQG8,30.0,40.0," ""/m/02cz_7,/m/04rlf"""
8ExbE_3GOdE,320.0,330.0," ""/m/09x0r,/m/0lyf6"""
R-d-5b54PIk,28.0,38.0," ""/m/01w250"","
lYOw8di2k4I,30.0,40.0," ""/m/03wvsk"","
AMPNzro2QyQ,30.0,40.0," ""/m/03k3r,/m/04rlf,/m/0jbk"""
F9B29hkyhCs,0.0,10.0," ""/m/03w41f"","
vi6czbA1hoo,190.0,200.0," ""/m/03w41f"","
-0YUDn-1yII,30.0,40.0," ""/m/02cjck,/m/04rlf"""
Ife1WaGirdQ,30.0,40.0," ""/m/025td0t,/m/02v2lh,/m/04rlf"""
YrGQKTbiG1g,30.0,40.0," ""/m/015lz1,/m/04rlf,/m/06_fw,/m/06rqw,/m/074ft"""
FgN9v1jYqjA,30.0,40.0," ""/m/04_sv,/m/07q2z82,/m/07yv9,/m/0btp2"""
MfKSVJIcDK0,30.0,40.0," ""/m/0342h,/m/042v_gx,/m/04rlf,/m/0fx80y,/t/dd00034"""
Jf7wpI8CwA8,270.0,280.0," ""/m/04rlf,/t/dd00088"""
ccVA8DXs7Ds,30.0,40.0," ""/m/03r5q_,/m/04rlf,/m/06by7"""
7LGLhQFiE0s,30.0,40.0," ""/m/04rlf,/t/dd00034"""
lQ2_0IqvH8g,60.0,70.0," ""/m/02c8p,/m/07cx4,/m/09x0r"""
SMPzo-vGkoc,20.0,30.0," ""/m/01swy6,/m/04rlf"""
1U8Y6VifI-M,50.0,60.0," ""/m/01hsr_,/m/04rlf,/m/09x0r,/t/dd00125"""
SoXUu09S_co,30.0,40.0," ""/m/02lkt,/m/04rlf,/m/07gxw"""
_EmMPAdPwtM,80.0,90.0," ""/m/025rv6n,/m/07qwf61,/m/0dbvp"""
guD1xZbsNGA,110.0,120.0," ""/m/03r5q_,/m/04rlf"""
NIcsJ8sEd0M,30.0,40.0," ""/m/028sqc,/m/02w4v,/m/04rlf"""
rN5P9DileN4,30.0,40.0," ""/m/04rlf,/m/07q4ntr,/m/07sr1lc"""
